code;value;year
RWA;89.28772432;2018
SLE;89.08699645;2018
EGY;88.73736288;2018
MOZ;88.6541345;2018
TLS;88.25683064;2018
NPL;87.87642694;2018
SWZ;87.54065036;2018
ZMB;87.22404971;2018
DJI;87.11477755;2018
GMB;87.06418532;2018
LBN;86.81328587;2018
BFA;86.52363751;2018
VEN;86.20692502;2018
PHL;85.49988187;2018
MWI;85.48762156;2018
TGO;85.15884543;2018
LKA;84.89668809;2018
PNG;84.7702658;2018
IRN;84.27111517;2018
KHM;84.04889219;2018
MDG;83.57162962;2018
GNQ;83.39889584;2018
SLB;83.10491832;2018
COM;82.62279134;2018
TUR;82.219036;2018
GTM;81.83670919;2018
LAO;80.72431004;2018
LSO;80.13336188;2018
SEN;79.62828847;2018
TJK;79.50203763;2018
TZA;79.38569085;2018
UZB;79.1;2018
KGZ;78.63412191;2018
ISR;78.53374003;2018
HND;77.26244167;2018
RUS;77.16545659;2018
JOR;76.75207114;2018
COL;76.62792958;2018
IND;76.30850994;2018
DZA;75.78505154;2018
BEN;75.6900969;2018
NIC;75.3293213;2018
BOL;75.22337886;2018
THA;74.98003133;2018
AZE;74.63031998;2018
FJI;74.51822129;2018
FSM;74.43708792;2018
BTN;74.27398471;2018
ECU;74.23122556;2018
MAR;74.00415255;2018
GEO;74.00003923;2018
ZAF;72.9;2018
TKM;72.62111504;2018
UKR;72.56161245;2018
GAB;72.47628284;2018
MDV;72.4;2018
CHN;72.39504123;2018
IDN;72.29772814;2018
STP;72.13078165;2018
TUN;72.07067457;2018
MEX;71.51814359;2018
BIH;71.33654614;2018
SLV;71.16006105;2018
BLR;70.54071433;2018
GUY;70.35847016;2018
SAU;70.23498732;2018
PER;70.07298207;2018
PRY;69.75151701;2018
MDA;69.54603614;2018
ARM;69.54522382;2018
DOM;69.19632519;2018
NAM;68.81558957;2018
BRA;68.71313081;2018
VNM;68.39565234;2018
GHA;68.12218632;2018
SRB;68.06006237;2018
CPV;68;2018
WSM;65.53086972;2018
MKD;64.79715789;2018
BHR;64.38675795;2018
SUR;64.01235952;2018
BLZ;63.71214889;2018
MYS;63.59483708;2018
KAZ;63.43851484;2018
JAM;63.11945865;2018
CUB;62.89031679;2018
BWA;61.98745014;2018
CYP;60.28630696;2018
ALB;60.07930844;2018
GRD;59.9;2018
BRN;59.80623958;2018
SYC;56.75415569;2018
KWT;55.89148719;2018
ATG;55.61104073;2018
MNE;55.33841976;2018
GRC;55.2824101;2018
MNG;54.87347129;2018
TTO;54.60573984;2018
OMN;52.6498016;2018
BGR;51.65420796;2018
HUN;50.20431327;2018
BHS;49.99124185;2018
PAN;49.48072268;2018
ROU;49.36140868;2018
HRV;48.7164183;2018
BRB;48.18332937;2018
QAT;48.06415434;2018
ARG;46.06992257;2018
LVA;44.89992174;2018
ITA;43.8;2018
CRI;43.23672394;2018
EST;42.99005364;2018
ARE;42.82924451;2018
SVK;42.47488888;2018
POL;41.46116976;2018
ESP;41.38298112;2018
CHL;40.69103612;2018
MUS;40.49020054;2018
LTU;39.40955429;2018
CZE;39.04760146;2018
USA;37.7;2018
MLT;36.20624478;2018
KOR;35.73391459;2018
URY;35.44474842;2018
JPN;34.47489967;2018
GBR;34.29882224;2018
FRA;32.2270111;2018
SGP;30.42120273;2018
